project_id,mibig_number,link_type,ms2_filename,ms2_local_path,genome_label,genome_accession,genome_fasta_path,genome_gbk_path,fasta_error,gbk_error
79eae50e-004d-42ba-8a81-f6d620e7052a,,single molecule,XanMangi_XAD_crude_D0_1.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/79eae50e-004d-42ba-8a81-f6d620e7052a/XanMangi_XAD_crude_D0_1.mzXML,Xanthomonas citri pv. mangiferaeindicae,GCA_002240395.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/79eae50e-004d-42ba-8a81-f6d620e7052a/genes/GCA_002240395.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/79eae50e-004d-42ba-8a81-f6d620e7052a/genes/GCA_002240395.1.gbk,,
7ac37e93-a737-4746-b121-0993adccf178,BGC0000598,single molecule,EH_Ento_Alex_targeted.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/7ac37e93-a737-4746-b121-0993adccf178/EH_Ento_Alex_targeted.mzXML,‘Candidatus Entotheonella factor’,AZHW00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/7ac37e93-a737-4746-b121-0993adccf178/genes/AZHW00000000.1.gbk,empty response (no sequence data at this accession),
7ac37e93-a737-4746-b121-0993adccf178,BGC0001105,single molecule,EH_Ento_Eric_130913212942.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/7ac37e93-a737-4746-b121-0993adccf178/EH_Ento_Eric_130913212942.mzXML,‘Candidatus Entotheonella factor’,AZHW00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/7ac37e93-a737-4746-b121-0993adccf178/genes/AZHW00000000.1.gbk,empty response (no sequence data at this accession),
815c513e-8fc3-43a8-88b4-f4df1dd503f7,BGC0002055,single molecule,MH_20140517_1MJP3_79_12.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/815c513e-8fc3-43a8-88b4-f4df1dd503f7/MH_20140517_1MJP3_79_12.mzXML,MH_79_12,JAAHTH010000000,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/815c513e-8fc3-43a8-88b4-f4df1dd503f7/genes/JAAHTH010000000.gbk,empty response (no sequence data at this accession),
815c513e-8fc3-43a8-88b4-f4df1dd503f7,BGC0002057,single molecule,MH_20140517_1MJP3_79_12.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/815c513e-8fc3-43a8-88b4-f4df1dd503f7/MH_20140517_1MJP3_79_12.mzXML,MH_79_12,JAAHTH010000000,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/815c513e-8fc3-43a8-88b4-f4df1dd503f7/genes/JAAHTH010000000.gbk,empty response (no sequence data at this accession),
815c513e-8fc3-43a8-88b4-f4df1dd503f7,BGC0002056,single molecule,MH_20140517_1MJP3_79_12.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/815c513e-8fc3-43a8-88b4-f4df1dd503f7/MH_20140517_1MJP3_79_12.mzXML,MH_79_12,JAAHTH010000000,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/815c513e-8fc3-43a8-88b4-f4df1dd503f7/genes/JAAHTH010000000.gbk,empty response (no sequence data at this accession),
84b56cd3-218b-4e57-906f-a9003615ed07,BGC0001632,single molecule,040220022.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/040220022.mzML,Microcystis aeruginosa NIES-88,JXYX01,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/genes/JXYX01.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/genes/JXYX01.gbk,,
84b56cd3-218b-4e57-906f-a9003615ed07,BGC0000473,single molecule,040220002.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/040220002.mzML,Microcystis aeruginosa NIES-298,CP046058.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/genes/CP046058.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/genes/CP046058.1.gbk,,
84b56cd3-218b-4e57-906f-a9003615ed07,,single molecule,040220001.mzML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/040220001.mzML,Microcystis viridis NIES-102,AP019314.1,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/genes/AP019314.1.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/84b56cd3-218b-4e57-906f-a9003615ed07/genes/AP019314.1.gbk,,
93f8edd3-c00d-4acf-b359-879b02850b46,BGC0001800,single molecule,TSWJapanSponge.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/93f8edd3-c00d-4acf-b359-879b02850b46/TSWJapanSponge.mzXML,Candidatus Entotheonella serta,PPXO00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/93f8edd3-c00d-4acf-b359-879b02850b46/genes/PPXO00000000.1.gbk,empty response (no sequence data at this accession),
944b1725-47e2-4f4f-8d57-40fbf9dc4282,,single molecule,Bsub_wt_1.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/Bsub_wt_1.mzXML,Bacillus subtilis subsp. subtilis str. 168,NC_000964.3,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.gbk,,
