mibig_id,ground_truth_rows,fate,status_3.1,status_4.0,quality_4.0,retirement_reason_4.0,structure_3.1,structure_4.0,structure_change,compound_3.1,compound_4.0,locus_3.1,locus_4.0
BGC0002010,1,carried_over,active,active,questionable,,no,no,,streptophenazine B; streptophenazine C; streptophenazine F; streptophenazine G; streptophenazine H,streptophenazine B; streptophenazine C; streptophenazine F; streptophenazine G; streptophenazine H,NZ_KB899004.1,NZ_KB899004.1
BGC0002016,1,carried_over,active,retired,questionable,validation failed,no,yes,gained_structure,lugdunomycin,lugdunomycin,PTJS01000001.1,PTJS01000001.1
BGC0002051,1,carried_over,active,active,questionable,,yes,yes,,antipain,antipain,MT149901.1,MT149901.1
BGC0002052,1,carried_over,active,active,questionable,,yes,yes,,ectoine,ectoine,MT149902.1,MT149902.1
BGC0002053,1,carried_over,active,active,questionable,,yes,yes,,ulleungdin,ulleungdin,MT149903.1,MT149903.1
BGC0002055,1,carried_over,active,active,questionable,,yes,yes,,mycalamide A,mycalamide A,JAAHTG010000029.1,JAAHTG010000029.1
BGC0002056,1,carried_over,active,active,questionable,,yes,yes,,peloruside A,peloruside A,JAAHTH010000242.1,JAAHTH010000242.1
BGC0002057,1,added_in_4.0,ABSENT,retired,questionable,Entry is spread over multiple contigs,no,yes,gained_structure,,pateamine,,BK012115.1
BGC0002061,2,dropped_from_4.0,active,ABSENT,,,yes,no,lost_structure,nostopeptolide A1; nostopeptolide 1052,,NC_010628.1,
BGC0002077,1,absent_from_both,ABSENT,ABSENT,,,no,no,,,,,
