#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
298	specs_ms.mgf	*..*		:59718	59718	-1	0	330.145	1	0.806179	208.303	0	253.329	10870.2	67341-40-6 [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf298	-1	MSNLIB-POSITIVE.mgf	2919.71				8	0	0.963928	329.181	0	CCMSLIB00012387385
672	specs_ms.mgf	*..*		:668	390	-1	0	1031.59	1	0.795633	612.904	0	2909860.0	21203.8	2-((R)-4-((3R,5S,7S,8R,9S,10S,12R,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid 2M+H	BILELIB19	temp/specs_ms.mgf672	-1	BILELIB19.mgf	1.41999				12	0	0.00146484	1031.59	0	CCMSLIB00005464856
673	specs_ms.mgf	*..*		:1066	122	-1	0	1031.59	1	0.791732	611.094	0	2168120.0	23324.6	taurocholic acid 2M+H	BILELIB19	temp/specs_ms.mgf673	-1	BILELIB19.mgf	1.41999				16	0	0.00146484	1031.59	0	CCMSLIB00005435565
254	specs_ms.mgf	*..*		:2776	2776	-1	0	284.099	1	0.791142	259.438	0	620683000.0	7603.7	Guanosine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf254	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	6970.84				6	0	1.98041	282.119	0	CCMSLIB00006117313
80	specs_ms.mgf	*..*		:209	209	-1	0	132.102	1	0.789978	194.862	0	56714800.0	68092.4	L-(+)-Isoleucine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf80	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	43.5464				6	0	0.00575256	132.108	0	CCMSLIB00006113094
226	specs_ms.mgf	*..*		:152	4990	-1	0	246.144	1	0.789162	216.77	0	3402090.0	16154.0	Spectral Match to Ile-Asn from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf226	-1	GNPS-NIST14-MATCHES.mgf	4043.2				7	0	0.995209	245.149	0	CCMSLIB00003139477
396	specs_ms.mgf	*..*		:12494	24493	-1	0	450.321	1	0.787302	638.962	0	219900.0	23000.4	Massbank:RP005403 Glycodeoxycholic acid|2-[[(4R)-4-[(3R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic M+H	MASSBANK	temp/specs_ms.mgf396	-1	MASSBANK.mgf	0.745453				16	0	0.000335693	450.321	0	CCMSLIB00005738045
240	specs_ms.mgf	*..*		:2651	2649	-1	0	269.29	1	0.786058	198.347	0	1925.0	7781.7	ReSpect:PS025606 Inosine|INO|(?)-Inosine|beta-Inosine|Hypoxanthine 9-beta-D-ribofuranoside|9-beta-D-ribofuranosylhypoxanthine|Hypoxanthine ribonucleoside|Oxiamin|Ribonosine|Trophicardyl [M+H]	RESPECT	temp/specs_ms.mgf240	-1	RESPECT.mgf	4274.89				6	0	1.15118	268.139	0	CCMSLIB00000213958
656	specs_ms.mgf	*..*		:1228	74	-1	0	931.625	1	0.781917	552.176	0	9337160.0	57204.0	glycocholic acid 2M+H	BILELIB19	temp/specs_ms.mgf656	-1	BILELIB19.mgf	1.37581				17	0	0.00128174	931.624	0	CCMSLIB00005435517
51	specs_ms.mgf	*..*		:5859	5859	-1	0	126.066	1	0.781084	322.75	0	29766000.0	6627.9	5-Methylcytosine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf51	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	7803.39				6	0	0.983742	127.05	0	CCMSLIB00006122548
