project_id,kind,ms2_url,status,error
c66bdb4d-ddad-4684-8dc4-12cf225930c5,ms2,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/ISP2_unlab_J1074_pre.mzXML,ok,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,ms2,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/A1_unlab_J1074.mzXML,ok,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,ms2,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/R5_unlab_J1074_pre.mzXML,ok,
c66bdb4d-ddad-4684-8dc4-12cf225930c5,ms2,ftp://massive.ucsd.edu/MSV000079519/raw/Unlabelled/R5_unlab_J1074_pre.mzXML,ok,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,ms2,ftp://massive.ucsd.edu/MSV000085026/peak/38640_SN_72h_M8.mzXML,ok,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,ms2,ftp://massive.ucsd.edu/MSV000085026/peak/38640_SN_72h_M8.mzXML,ok,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,ms2,ftp://massive.ucsd.edu/MSV000085026/peak/38640_FE_72h_M8.mzXML,ok,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,ms2,ftp://massive.ucsd.edu/MSV000085026/peak/38640_FE_72h_M8.mzXML,ok,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,ms2,ftp://massive.ucsd.edu/MSV000085026/peak/38640_FE_72h_M8.mzXML,ok,
c86fdc82-0d18-45d0-aa30-1f877c1cd3fc,ms2,ftp://massive.ucsd.edu/MSV000085026/updates/2020-02-27_SoniaMaffioli_d7f9a65c/peak/38640_FE_24h_M8.mzXML,ok,
cc996566-f00b-4175-95d2-e684371c5f59,ms2,ftp://massive.ucsd.edu/MSV000085038/raw/3L.mzXML,ok,
cc996566-f00b-4175-95d2-e684371c5f59,ms2,ftp://massive.ucsd.edu/MSV000085038/raw/3L.mzXML,ok,
cc996566-f00b-4175-95d2-e684371c5f59,ms2,ftp://massive.ucsd.edu/MSV000085038/raw/JHB_22AUG96-1.mzXML,ok,
cc996566-f00b-4175-95d2-e684371c5f59,ms2,ftp://massive.ucsd.edu/MSV000085038/raw/JHB_22AUG96-1.mzXML,ok,
cc996566-f00b-4175-95d2-e684371c5f59,ms2,ftp://massive.ucsd.edu/MSV000085038/raw/JHB_22AUG96-1.mzXML,ok,
eaebc14f-4288-44e1-971a-b29ccb8a504f,ms2,ftp://massive.ucsd.edu/MSV000079139/peak/Himalaya%20strains/007_Hm125_1_01_240.mzXML,ok,
f05276c1-3c19-4fc4-95ee-412817ec35bd,ms2,ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML,ok,
f05276c1-3c19-4fc4-95ee-412817ec35bd,ms2,ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML,ok,
f05276c1-3c19-4fc4-95ee-412817ec35bd,ms2,ftp://massive.ucsd.edu/MSV000083387/peak/mzXML/S_N1.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinP1-MS2.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinP2-MS2.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinP3-MS2.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinS1-MS2.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinN1-MS2.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinN2-MS2.mzXML,ok,
f2f2d52e-72e5-4271-893e-97bca12d6eff,ms2,ftp://massive.ucsd.edu/MSV000083648/raw/detoxins/DetoxinN3-MS2.mzXML,ok,
faafed8f-bcdc-4c56-b3b2-676e4d2ddcc6,ms2,ftp://massive.ucsd.edu/MSV000082988/ccms_peak/20170919_NM6_glyc2.1.mzXML,failed,HTTP Error 500: 500
ff49073b-5f8d-4153-8414-9f8f01b24585,ms2,ftp://massive.ucsd.edu/MSV000081504/raw/JG_QL109_DDA_03.mzXML,ok,
