podp_id,genome_label,genome_type,metabolomics_file,gnps_massive_id,same_experiment,slice
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNB091,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNB091_YP_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_A1_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_A1_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_A1_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_MS_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_MS_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_MS_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_R5_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_R5_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_R5_E.mzXML,MSV000078847,True,unvalidated_pairs
