CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
8	213	-113.047	0.000	0.8231	0.5973	1
8	237	-147.069	0.000	0.7255	0.4342	1
8	243	-154.073	0.000	0.7137	0.3830	1
8	257	-170.069	0.000	0.7795	0.4632	1
8	292	-204.090	0.000	0.8282	0.5645	1
8	330	-267.158	0.000	0.7206	0.3306	1
9	10	0.000	0.000	0.8824	0.7913	1
9	19	-2.016	0.000	0.7588	0.7893	1
9	20	-2.016	0.000	0.7052	0.7239	1
9	21	-2.016	0.000	0.9202	0.7831	1
9	25	-2.016	0.000	0.7484	0.5736	1
9	26	-2.016	0.000	0.7775	0.7232	1
9	59	-13.979	0.000	0.8262	0.8136	1
9	60	-13.979	0.000	0.7371	0.7556	1
9	65	-14.029	0.000	0.7047	0.6272	1
9	159	-59.040	0.000	0.7175	0.3976	1
10	19	-2.016	0.000	0.7472	0.7464	1
10	20	-2.016	0.000	0.8393	0.8026	1
10	21	-2.016	0.000	0.8830	0.7626	1
10	23	-2.016	0.000	0.7076	0.6947	1
10	24	-2.016	0.000	0.7055	0.7120	1
10	25	-2.016	0.000	0.8340	0.6863	1
10	26	-2.016	0.000	0.7631	0.7420	1
10	52	-12.995	0.000	0.7675	0.6744	1
10	58	-13.979	0.000	0.7704	0.8120	1
10	59	-13.979	0.000	0.7690	0.7818	1
10	60	-13.979	0.000	0.8002	0.8604	1
10	74	-16.039	0.000	0.7283	0.6132	1
10	81	-16.031	0.000	0.7218	0.7379	1
10	83	-16.037	0.000	0.7096	0.6611	1
10	109	-27.995	0.000	0.7107	0.7587	1
11	12	0.000	0.000	0.8524	0.5685	1
11	13	-0.000	0.000	0.8784	0.5801	1
11	14	0.000	0.000	0.8439	0.5754	1
11	15	0.000	0.000	0.9065	0.6106	1
11	16	0.000	0.000	0.9054	0.6779	1
11	17	0.000	0.000	0.8700	0.5641	1
11	18	-0.000	0.000	0.8827	0.5417	1
11	134	-41.027	0.000	0.7540	0.5397	1
11	259	-169.147	0.000	0.9006	0.5493	1
11	260	-169.147	0.000	0.7488	0.3964	1
11	261	-169.147	0.000	0.7585	0.4235	1
11	262	-169.147	0.000	0.8096	0.5016	1
11	263	-169.147	0.000	0.7514	0.4645	1
11	264	-169.147	0.000	0.7875	0.4911	1
11	265	-169.147	0.000	0.7529	0.4264	1
11	266	-169.147	0.000	0.8191	0.4931	1
11	267	-169.147	0.000	0.7040	0.3923	1
11	268	-169.147	0.000	0.7978	0.5413	1
11	279	-185.214	0.000	0.7070	0.3629	1
11	281	-187.157	0.000	0.8550	0.5368	1
11	294	-211.195	0.000	0.8566	0.6110	1
11	295	-211.195	0.000	0.8252	0.4941	1
11	296	-211.195	0.000	0.7514	0.4269	1
11	297	-211.200	0.000	0.8673	0.5336	1
11	299	-212.198	0.000	0.8547	0.4926	1
11	309	-229.204	0.000	0.8968	0.5581	1
11	310	-229.204	0.000	0.7454	0.4400	1
11	316	-241.168	0.000	0.7263	0.3368	1
11	317	-241.169	0.000	0.7360	0.3637	1
12	13	-0.000	0.000	0.8931	0.5023	1
12	14	-0.000	0.000	0.8906	0.5725	1
12	15	-0.000	0.000	0.9001	0.6521	1
12	16	-0.000	0.000	0.8648	0.6178	1
12	17	0.000	0.000	0.8845	0.5558	1
12	18	-0.000	0.000	0.8479	0.4810	1
12	46	-8.913	0.000	0.7119	0.5821	1
12	134	-41.027	0.000	0.7025	0.4141	1
12	259	-169.147	0.000	0.8343	0.4360	1
12	260	-169.147	0.000	0.7025	0.3371	1
12	262	-169.147	0.000	0.7583	0.4100	1
12	264	-169.147	0.000	0.7295	0.3497	1
12	266	-169.147	0.000	0.7494	0.3928	1
12	268	-169.147	0.000	0.7732	0.4025	1
12	281	-187.157	0.000	0.8122	0.4912	1
12	294	-211.195	0.000	0.8107	0.4904	1
12	295	-211.195	0.000	0.7892	0.4104	1
12	297	-211.201	0.000	0.8043	0.4196	1
12	299	-212.198	0.000	0.8267	0.4251	1
12	309	-229.204	0.000	0.8063	0.4166	1
12	310	-229.204	0.000	0.7056	0.3582	1
13	14	0.000	0.000	0.9243	0.7152	1
13	15	0.000	0.000	0.9146	0.5588	1
13	16	0.000	0.000	0.8858	0.5996	1
13	17	0.000	0.000	0.8948	0.5219	1
13	18	0.000	0.000	0.8679	0.6093	1
13	46	-8.913	0.000	0.7109	0.5812	1
13	134	-41.027	0.000	0.7814	0.6924	1
13	259	-169.147	0.000	0.8822	0.6629	1
13	260	-169.147	0.000	0.7231	0.4084	1
13	261	-169.147	0.000	0.7049	0.4336	1
13	262	-169.147	0.000	0.8085	0.5346	1
13	263	-169.147	0.000	0.7408	0.5099	1
13	264	-169.147	0.000	0.7547	0.4681	1
13	265	-169.147	0.000	0.7048	0.4194	1
13	266	-169.147	0.000	0.7954	0.5272	1
13	268	-169.147	0.000	0.8180	0.4894	1
13	279	-185.214	0.000	0.7248	0.4804	1
13	281	-187.157	0.000	0.8709	0.5944	1
13	294	-211.195	0.000	0.8538	0.6754	1
13	295	-211.195	0.000	0.8289	0.5510	1
13	296	-211.195	0.000	0.7355	0.4846	1
13	297	-211.200	0.000	0.8389	0.5947	1
13	299	-212.198	0.000	0.8407	0.5859	1
13	309	-229.204	0.000	0.8541	0.6032	1
13	310	-229.204	0.000	0.7474	0.5070	1
14	15	0.000	0.000	0.8861	0.5706	1
14	16	-0.000	0.000	0.8648	0.6099	1
14	17	0.000	0.000	0.8622	0.5419	1
14	18	-0.000	0.000	0.8495	0.6011	1
14	46	-8.913	0.000	0.7294	0.6096	1
14	134	-41.027	0.000	0.7884	0.6802	1
14	259	-169.147	0.000	0.8447	0.5871	1
14	262	-169.147	0.000	0.7600	0.4557	1
14	263	-169.147	0.000	0.7071	0.4398	1
14	264	-169.147	0.000	0.7103	0.3862	1
14	266	-169.147	0.000	0.7655	0.5288	1
14	268	-169.147	0.000	0.7727	0.4731	1
14	279	-185.214	0.000	0.7268	0.4775	1
14	281	-187.157	0.000	0.8474	0.6097	1
14	294	-211.195	0.000	0.8157	0.6379	1
14	295	-211.195	0.000	0.7807	0.4831	1
14	296	-211.196	0.000	0.7138	0.4544	1
14	297	-211.200	0.000	0.8210	0.5774	1
14	299	-212.198	0.000	0.8322	0.5618	1
14	309	-229.204	0.000	0.8053	0.5387	1
14	310	-229.204	0.000	0.7175	0.4894	1
15	16	-0.000	0.000	0.8855	0.6314	1
15	17	0.000	0.000	0.8988	0.5829	1
15	18	-0.000	0.000	0.8636	0.4931	1
15	134	-41.027	0.000	0.7288	0.4281	1
15	259	-169.147	0.000	0.8732	0.4746	1
15	260	-169.147	0.000	0.7172	0.3352	1
15	261	-169.147	0.000	0.7088	0.3586	1
15	262	-169.147	0.000	0.7758	0.3954	1
15	263	-169.147	0.000	0.7381	0.4155	1
15	264	-169.147	0.000	0.7373	0.3243	1
15	266	-169.147	0.000	0.8010	0.4604	1
15	268	-169.147	0.000	0.8002	0.4374	1
15	281	-187.157	0.000	0.8423	0.5077	1
15	294	-211.195	0.000	0.8241	0.5202	1
15	295	-211.195	0.000	0.8153	0.4489	1
15	296	-211.196	0.000	0.7068	0.3324	1
15	297	-211.200	0.000	0.8463	0.4676	1
15	299	-212.198	0.000	0.8276	0.4406	1
15	309	-229.204	0.000	0.8550	0.4778	1
15	310	-229.204	0.000	0.7471	0.4312	1
16	17	0.000	0.000	0.8439	0.5661	1
16	18	-0.000	0.000	0.9075	0.5324	1
16	46	-8.913	0.000	0.7055	0.6052	1
16	134	-41.027	0.000	0.7177	0.5301	1
16	259	-169.147	0.000	0.8856	0.5318	1
16	260	-169.147	0.000	0.7361	0.4043	1
16	261	-169.147	0.000	0.7239	0.3906	1
16	262	-169.147	0.000	0.8098	0.4573	1
16	263	-169.147	0.000	0.7348	0.4333	1
