USI1,USI2,SMILES1,SpectrumID,Compound_Name,CLUSTERID1,CLUSTERID2
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010135640,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:363,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CCMSLIB00010135640,Glycoursodeoxycholic acid,395,363
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005738045,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:363,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CCC4[C@@]3(CC[C@H](C4)O)C)O)C,CCMSLIB00005738045,"Massbank:RP005403 Glycodeoxycholic acid|2-[[(4R)-4-[(3R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic",396,363
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010133706,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:363,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00010133706,Glycocholic acid,407,363
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004691588,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:314,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00004691588,Cholic Acid,356,314
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113073,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:397,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+],CCMSLIB00006113073,Sodium taurochenodeoxycholate - 40.0 eV,441,397
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006113073,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:418,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+],CCMSLIB00006113073,Sodium taurochenodeoxycholate - 40.0 eV,441,418
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00011429876,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:418,O=S(O)(CCNC(CC[C@@H](C)C1CC[C@@]2([H])[C@]3([H])[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O)=O,CCMSLIB00011429876,"(((3a,7a,12a)-3,7,12-trihydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid",480,418
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00013047420,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:314,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00013047420,cholic acid,327,314
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010133706,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:314,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00010133706,Glycocholic acid,407,314
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00013047420,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:313,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00013047420,cholic acid,327,313
